FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;65536;65536;5;Time_1;11840211052983
./test/square_50Hz.txt;65536;65536;5;Time_2;11840218335134
./test/square_50Hz.txt;65536;65536;5;Time_3;11840218339464
./test/square_50Hz.txt;65536;65536;5;Time_4;11840237108316
./test/square_50Hz.txt;65536;65536;5;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;5;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;5;Time_7;11840218497234
./test/square_50Hz.txt;65536;65536;5;Time_8;000000000
./test/square_50Hz.txt;65536;65536;5;Delta Time_1->2;007282151
./test/square_50Hz.txt;65536;65536;5;Delta Time_0->3;007292767
./test/square_50Hz.txt;65536;65536;5;Delta Time_3->4;018768852
./test/square_50Hz.txt;65536;65536;5;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;5;Delta Time_7->10;018609685
./test/square_50Hz.txt;65536;65536;5;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;6;Time_0;11840237161674
./test/square_50Hz.txt;65536;65536;6;Time_1;11840237165096
./test/square_50Hz.txt;65536;65536;6;Time_2;11840244327959
./test/square_50Hz.txt;65536;65536;6;Time_3;11840244332778
./test/square_50Hz.txt;65536;65536;6;Time_4;11840263056583
./test/square_50Hz.txt;65536;65536;6;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;6;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;6;Time_7;11840244494040
./test/square_50Hz.txt;65536;65536;6;Time_8;000000000
./test/square_50Hz.txt;65536;65536;6;Delta Time_1->2;007162863
./test/square_50Hz.txt;65536;65536;6;Delta Time_0->3;007171104
./test/square_50Hz.txt;65536;65536;6;Delta Time_3->4;018723805
./test/square_50Hz.txt;65536;65536;6;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;6;Delta Time_7->10;018560657
./test/square_50Hz.txt;65536;65536;6;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;7;Time_0;11840263131313
./test/square_50Hz.txt;65536;65536;7;Time_1;11840263135573
./test/square_50Hz.txt;65536;65536;7;Time_2;11840270318760
./test/square_50Hz.txt;65536;65536;7;Time_3;11840270322601
./test/square_50Hz.txt;65536;65536;7;Time_4;11840289207249
./test/square_50Hz.txt;65536;65536;7;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;7;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;7;Time_7;11840270481907
./test/square_50Hz.txt;65536;65536;7;Time_8;000000000
./test/square_50Hz.txt;65536;65536;7;Delta Time_1->2;007183187
./test/square_50Hz.txt;65536;65536;7;Delta Time_0->3;007191288
./test/square_50Hz.txt;65536;65536;7;Delta Time_3->4;018884648
./test/square_50Hz.txt;65536;65536;7;Delta Time_5->6;032476697
./test/square_50Hz.txt;65536;65536;7;Delta Time_7->10;018723945
./test/square_50Hz.txt;65536;65536;7;Delta Time_8->9;000000000
./test/square_50Hz.txt;65536;65536;8;Time_0;11840289265566
./test/square_50Hz.txt;65536;65536;8;Time_1;11840289269337
./test/square_50Hz.txt;65536;65536;8;Time_2;11840296367458
./test/square_50Hz.txt;65536;65536;8;Time_3;11840296371718
./test/square_50Hz.txt;65536;65536;8;Time_4;11840315224519
./test/square_50Hz.txt;65536;65536;8;Time_5;11840073686787
./test/square_50Hz.txt;65536;65536;8;Time_6;11840106163484
./test/square_50Hz.txt;65536;65536;8;Time_7;11840296533888
./test/square_50Hz.txt;65536;65536;8;Time_8;000000000
./test/square_50Hz.txt;65536;65536;8;Delta Time_1->2;007098121
./test/square_50Hz.txt;65536;65536;8;Delta Time_0->3;007106152
