FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;2;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;2;Time_7;26013549315374645
./test/square_50Hz.txt;16384;16384;2;Time_8;26013549315375355
./test/square_50Hz.txt;16384;16384;2;Delta Time_1->2;019489088
./test/square_50Hz.txt;16384;16384;2;Delta Time_0->3;111783382
./test/square_50Hz.txt;16384;16384;2;Delta Time_3->4;2340399928
./test/square_50Hz.txt;16384;16384;2;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;2;Delta Time_7->10;2279115728
./test/square_50Hz.txt;16384;16384;2;Delta Time_8->9;000527346
./test/square_50Hz.txt;16384;16384;3;Time_0;26013551744521867
./test/square_50Hz.txt;16384;16384;3;Time_1;26013551744800704
./test/square_50Hz.txt;16384;16384;3;Time_2;26013551764243673
./test/square_50Hz.txt;16384;16384;3;Time_3;26013551859626960
./test/square_50Hz.txt;16384;16384;3;Time_4;26013554241561924
./test/square_50Hz.txt;16384;16384;3;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;3;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;3;Time_7;26013551859832489
./test/square_50Hz.txt;16384;16384;3;Time_8;26013551859832709
./test/square_50Hz.txt;16384;16384;3;Delta Time_1->2;019442969
./test/square_50Hz.txt;16384;16384;3;Delta Time_0->3;115105093
./test/square_50Hz.txt;16384;16384;3;Delta Time_3->4;2381934964
./test/square_50Hz.txt;16384;16384;3;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;3;Delta Time_7->10;2273206367
./test/square_50Hz.txt;16384;16384;3;Delta Time_8->9;000598235
./test/square_50Hz.txt;16384;16384;4;Time_0;26013554328233554
./test/square_50Hz.txt;16384;16384;4;Time_1;26013554330066599
./test/square_50Hz.txt;16384;16384;4;Time_2;26013554349586127
./test/square_50Hz.txt;16384;16384;4;Time_3;26013554450474629
./test/square_50Hz.txt;16384;16384;4;Time_4;26013556779776730
./test/square_50Hz.txt;16384;16384;4;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;4;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;4;Time_7;26013554450732927
./test/square_50Hz.txt;16384;16384;4;Time_8;26013554450733467
./test/square_50Hz.txt;16384;16384;4;Delta Time_1->2;019519528
